image_path,response,trace,groundtruth,prompt
data/diagram_image_to_text/diagram_image_to_text0.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:07:12.36680834Z' done=True done_reason='stop' total_duration=251314880584 load_duration=4275983764 prompt_eval_count=6608 prompt_eval_duration=204186483453 eval_count=7 eval_duration=967297854 message=Message(role='assistant', content='\nFlowchart of the Process', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 251.32378721237183, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Break down the diagram into its components and explain their interrelations.', 'assistant': 'Database searches n=408, Conference abstracts n=16, and clinicaltrials.gov n=68 are connected with Records identified n=492 which is then connected with both Records screened and Duplicates removed. Records screened is then connected with both Records independently screened by two reviewers and Clearly irrelevant records removed. Then, Records independently screened by two reviewers is connected with Full-text articles retrieved and Irrelevant records removed. Full-text articles retrieved is then connected with both Stop the process and Update.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text1.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:09:15.228915023Z' done=True done_reason='stop' total_duration=122852845905 load_duration=148636289 prompt_eval_count=3692 prompt_eval_duration=99117633491 eval_count=4 eval_duration=368492090 message=Message(role='assistant', content='\nflowchart', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 122.85850930213928, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Detail the hierarchical structure of the components in this diagram.', 'assistant': ""If Got the first dose? is Yes then 1 dose and if Got the first dose? is No/Don't know then Got second dose?. If Got second dose? is Yes then 1 dose and if Got second dose? is No/Don't know then 2 doses."", 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text10.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:11:21.999695666Z' done=True done_reason='stop' total_duration=126765873654 load_duration=40697709 prompt_eval_count=3692 prompt_eval_duration=98673744878 eval_count=41 eval_duration=4855280365 message=Message(role='assistant', content='\nThe diagram shows the relationships between several historical figures, including Albert Einstein, Hans Albert Einstein, Mileva Maric, and Hermann Einstein.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 126.770339012146, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Delineate the roles of the components within this diagram.', 'assistant': 'Hans Albert Einstein is Son of Albert Einstein. Mileva Maric is wife of Albert Einstein and Albert Einstein is son of Hermann Einstein. Also, Albert Einstein was born in German Empire.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text11.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:12:02.081601851Z' done=True done_reason='stop' total_duration=40076731773 load_duration=40341015 prompt_eval_count=776 prompt_eval_duration=17032491391 eval_count=187 eval_duration=17761190079 message=Message(role='assistant', content='\nThe diagram shows a simple home automation system using an Arduino microcontroller as the central processing unit. The sensor is connected to the Arduino via a digital pin, which allows it to read data from various sensors such as temperature, humidity, or motion. This data is then processed by the Arduino and sent to the Home Automation module for further action.\n\nThe Home Automation module can be a dedicated device or a software application that runs on the Arduino. It can control various devices in the home, such as lights, thermostats, or security cameras, based on the data received from the sensor. For example, if the temperature sensor detects that it is too hot outside, the Home Automation module can turn on the air conditioning system to cool down the room.\n\nOverall, this diagram illustrates a basic home automation system using an Arduino microcontroller and sensors to monitor and control various devices in the home.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 40.07954931259155, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Analyze the diagram and describe the dependency between its elements.', 'assistant': 'Sensor is connected with Arduino which is then connected with Home automation.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text12.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:16:44.198874211Z' done=True done_reason='stop' total_duration=282109128442 load_duration=56513597 prompt_eval_count=7337 prompt_eval_duration=232823450900 eval_count=13 eval_duration=1803809433 message=Message(role='assistant', content='\nflowchart for finding the best route from O to D', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 282.1181824207306, 'cpu_used': 0.0, 'mem_used': 2056192}","{'user': 'Detail the cause-and-effect relationships within this diagram.', 'assistant': 'Inferred OD is connected with Get array of paths from O to D which is then connected with Find the best route which is further connected with Trip exists?. If Trip exists? is No then Arrival Time Inference Fails and if Trip exists? is Yes then Find arrival time at segment alighting location which is then connected with Arrival Time?. If Arrival Time? is No then Next trip which is then connected with Trip exists? and if Arrival Time? is Yes then Final segment which if Final segment is No then Check another one which is then connected with Find the best route and if Final segment is Yes then alighting time + egress time = arrival time.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text13.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:17:08.727578487Z' done=True done_reason='stop' total_duration=24524137575 load_duration=39047380 prompt_eval_count=776 prompt_eval_duration=17073251992 eval_count=30 eval_duration=2704527185 message=Message(role='assistant', content='\nStart is connected with Step 1 which is then connected with Decision. If Decision is No then Update and if Decision is Yes then End.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 24.526703357696533, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Detail the hierarchical structure of the components in this diagram.', 'assistant': 'Start is connected with Step 1 which is then connected with Decision. If Decision is No then Update which is then connected with Step 1 and if Decision is Yes then End.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text14.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:20:22.060828685Z' done=True done_reason='stop' total_duration=193329835715 load_duration=44593983 prompt_eval_count=5150 prompt_eval_duration=146774969544 eval_count=106 eval_duration=13904473565 message=Message(role='assistant', content='\nMemory is connected with Tx:Epely maneuver which is then connected with Positional test. If Positional test is Treatment failure then Random allocation and if Positional test is Resolution of the PC-BPV treatment failure then Malware Test. If Malware Test is Tx: Semont maneuver then End of study and if Malware Test is not Tx: Semont maneuver then Positional test which is further connected with Treatment failure or Resolution of the PC-BPV treatment failure.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 193.33479475975037, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Summarize the interactions among the components shown in the diagram.', 'assistant': 'Memory is connected with Tx: Epely maneuver which is then connected with Positional test. If Positional test is Resolution of the PC-BPPV then End of Study and If Positional test is Treatment failure then Random allocation. Random allocation is then connected with both Malware Test and Tx: Semont maneuver. Also, Malware Test and Tx: Semont maneuver both are connected with Positional test which is finally connected with End of study.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text2.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:20:44.152994297Z' done=True done_reason='stop' total_duration=22087141842 load_duration=46727484 prompt_eval_count=776 prompt_eval_duration=17074872120 eval_count=3 eval_duration=230302602 message=Message(role='assistant', content='\nOffice', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 22.092647314071655, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Map out and interpret the links among diagram components.', 'assistant': 'Office is connected with home.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text3.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:22:05.955114078Z' done=True done_reason='stop' total_duration=81796065935 load_duration=81187322 prompt_eval_count=2234 prompt_eval_duration=55872974865 eval_count=102 eval_duration=11417812222 message=Message(role='assistant', content='\nThe diagram shows the process of making a machine in a factory setting. It includes several components such as valves, cylinders, control circuit, condenser, and service unit. The valves are used to control the flow of air through the system, while the cylinders and control circuit work together to regulate the temperature and pressure within the system. The condenser is responsible for cooling the fluids in the system, and the service unit provides maintenance and repair services.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 81.79921984672546, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Chart the connections and roles of the diagram’s components.', 'assistant': 'Circuit is connected with Process which is then connected with CONTROL CIRCUIT which is further connected with VALVES. If Condenser is Air then SERVICE UNIT F,R,L,P which if SERVICE UNIT F,R,L,P is Lubricated Air then VALVES which is then connected with CYLINDER.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text4.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:22:46.786077735Z' done=True done_reason='stop' total_duration=40827718956 load_duration=55184208 prompt_eval_count=776 prompt_eval_duration=17125628505 eval_count=195 eval_duration=18795498515 message=Message(role='assistant', content='\nTo create a flowchart for this process, we\'ll use standard symbols and arrows to represent the steps and decision points. Here\'s how you can draw it:\n\n```mermaid\ngraph TD;\n    A[Start] --> B[Add];\n    B --> C{Sub};\n    C -- Yes --> D[Update];\n    C -- No --> E[Print];\n    E --> F[Stop];\n```\n\nThis flowchart starts with the ""Start"" step, then moves to the ""Add"" step. If the decision point (the sub-decision) is ""Yes,"" it goes to the ""Update"" step; otherwise, it goes to the ""Print"" step. Finally, it ends at the ""Stop"" step.\n\nRemember that you can copy and paste this code into an online Mermaid live editor like the following one: https://mermaid-js.github.io/mermaid-live-editor/.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 40.830103635787964, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Elucidate the sequence of operations depicted in the diagram.', 'assistant': 'Start is connected with Add which is then connected with Sub. Sub is then connected with both Update and Print. Also, both Update and Print are connected with Stop.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text5.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:23:08.47950876Z' done=True done_reason='stop' total_duration=21690686901 load_duration=36959194 prompt_eval_count=776 prompt_eval_duration=16826758971 eval_count=3 eval_duration=220689472 message=Message(role='assistant', content='\nsource', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 21.696462869644165, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Summarize the interactions among the components shown in the diagram.', 'assistant': 'Source is connected with Amplification which is then connected with Process which is further connected with Demodulator which is finally connected with Target.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text6.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:24:22.324317354Z' done=True done_reason='stop' total_duration=73838337337 load_duration=37914253 prompt_eval_count=2234 prompt_eval_duration=54877635893 eval_count=49 eval_duration=5074154039 message=Message(role='assistant', content='\nThe diagram shows the process of installing software on a computer system. It includes several steps such as bootstrapping, installation, copying, unpacking, registering, configuring, and setting up a zip file with an image and ISO file.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 73.84130620956421, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Review the diagram and comment on the linkage and flow among entities.', 'assistant': 'bootstrap is connected with Installation which is then connected with Copy which is further connected with Unpack. Unpack is connected with Register which is then connected with Config. Config is further connected with Zip, Image and ISO.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text7.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:27:32.748235843Z' done=True done_reason='stop' total_duration=190420267124 load_duration=77852503 prompt_eval_count=5150 prompt_eval_duration=148131876795 eval_count=74 eval_duration=9462738720 message=Message(role='assistant', content='\nStart is connected with Identify Problem which is then connected with work on it. Work on it is connected with Note them down in a diagram or table which is further connected with Ask for assistant. Ask for assistant is connected with Need more help? If Need more help? is No then Find solutions to identified and if Need more help? is Yes then End.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 190.42449069023132, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Elucidate the sequence of operations depicted in the diagram.', 'assistant': 'Start is connected with Identify Problem which is then connected with work on it. Work on it is connected with Note them down in a diagram or table which is then connected with Ask for assistant which is further connected with Need more help?. If Need more help? is No then Ask for assistant and if Need more help? is Yes then Find solutions to the root causes identified which is finally connected with End.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text8.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:27:58.586002821Z' done=True done_reason='stop' total_duration=25832669863 load_duration=43792665 prompt_eval_count=776 prompt_eval_duration=17116268575 eval_count=42 eval_duration=3941313098 message=Message(role='assistant', content='\nThe flowchart depicts the process of manufacturing fabric from raw materials through various stages such as dyeing, finishing, inspection, authentication, testing, cutting, and confirmation.', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 25.835760831832886, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Detail the cause-and-effect relationships within this diagram.', 'assistant': 'Dyed and Finished Fabric in Roll is connected with Fabric Inspection which is then connected with Authentication. Authentication is connected with Different Tests of Fabric which is then connected with Test Cutting which is further connected with Confirmation which is finally connected with Input to Cutting Section.', 'source': 'Diagram-Image-to-Text'}
",
data/diagram_image_to_text/diagram_image_to_text9.png,"model='granite3.2-vision:2b' created_at='2025-11-17T00:29:08.599787568Z' done=True done_reason='stop' total_duration=70010975003 load_duration=42654201 prompt_eval_count=2234 prompt_eval_duration=55166140984 eval_count=8 eval_duration=771982479 message=Message(role='assistant', content='\nFlowchart for bath preparation', thinking=None, images=None, tool_name=None, tool_calls=None)","{'duration': 70.01434636116028, 'cpu_used': 0.0, 'mem_used': 0}","{'user': 'Interpret the system depicted in the diagram, detailing component functions.', 'assistant': 'Start is connected with Fill the bath with water which is then connected with Add warm water which is further connected with Get into bath. Get into bath is connected with Wash which is then connected with Come Out which is further connected with Empty the bath water. Empty the bath water is connected with Get dressed which is finally connected with End.', 'source': 'Diagram-Image-to-Text'}
",
image_path,response,trace,groundtruth,prompt
